Timestamp;Feeder1;Feeder2;Temperature
2018-04-04T19:00:00+02:00[Europe/Luxembourg];542;1505;12
2018-04-04T19:15:00+02:00[Europe/Luxembourg];934;1334;11
2018-04-04T19:30:00+02:00[Europe/Luxembourg];940;1342;11
2018-04-04T19:45:00+02:00[Europe/Luxembourg];658;1376;10
2018-04-04T20:00:00+02:00[Europe/Luxembourg];409;1387;9
2018-04-04T20:15:00+02:00[Europe/Luxembourg];1024;1343;9
2018-04-04T20:30:00+02:00[Europe/Luxembourg];1068;1325;8
2018-04-04T20:45:00+02:00[Europe/Luxembourg];1065;1317;8
2018-04-04T21:00:00+02:00[Europe/Luxembourg];1073;1317;7
2018-04-04T21:15:00+02:00[Europe/Luxembourg];1024;1271;7
2018-04-04T21:30:00+02:00[Europe/Luxembourg];957;1261;6
2018-04-04T21:45:00+02:00[Europe/Luxembourg];956;1234;5
2018-04-04T22:00:00+02:00[Europe/Luxembourg];941;1196;5
2018-04-04T22:15:00+02:00[Europe/Luxembourg];954;1185;4
2018-04-04T22:30:00+02:00[Europe/Luxembourg];901;1126;3
2018-04-04T22:45:00+02:00[Europe/Luxembourg];876;1080;3
2018-04-04T23:00:00+02:00[Europe/Luxembourg];873;1112;2
2018-04-04T23:15:00+02:00[Europe/Luxembourg];865;1052;1
2018-04-04T23:30:00+02:00[Europe/Luxembourg];848;1020;1
2018-04-04T23:45:00+02:00[Europe/Luxembourg];847;1006;0
2018-04-05T00:00:00+02:00[Europe/Luxembourg];862;1011;0
2018-04-05T00:15:00+02:00[Europe/Luxembourg];865;993;0
2018-04-05T00:30:00+02:00[Europe/Luxembourg];839;961;1
2018-04-05T00:45:00+02:00[Europe/Luxembourg];842;956;1
2018-04-05T01:00:00+02:00[Europe/Luxembourg];848;948;2
2018-04-05T01:15:00+02:00[Europe/Luxembourg];850;920;3
2018-04-05T01:30:00+02:00[Europe/Luxembourg];819;893;3
2018-04-05T01:45:00+02:00[Europe/Luxembourg];826;893;4
2018-04-05T02:00:00+02:00[Europe/Luxembourg];806;910;5
2018-04-05T02:15:00+02:00[Europe/Luxembourg];820;909;5
2018-04-05T02:30:00+02:00[Europe/Luxembourg];769;913;6
2018-04-05T02:45:00+02:00[Europe/Luxembourg];745;907;7
2018-04-05T03:00:00+02:00[Europe/Luxembourg];738;910;7
